SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,PERIOD,is_home,is_3pt,is_paint,is_midrange,is_4q,is_ot,time_pressure,defender_pressure,open_shot,dist_x_defender,dist_x_time,pressure_x_3pt,shot_difficulty,made
11.4,2.7,5.3,4,0,0,0,1,1,0,0,0,0,30.780000000000005,60.42,0,1.8811792452830187,0
26.0,5.4,13.9,2,1,1,0,0,0,1,0,0,0,140.4,361.40000000000003,0,2.108100638133561,0
18.0,4.0,14.0,2,1,0,0,1,0,1,0,0,0,72.0,252.0,0,1.8936507936507936,1
21.0,5.0,7.6,2,1,0,0,1,0,1,0,0,0,105.0,159.6,0,2.013397129186603,1
22.0,8.9,9.3,2,0,0,0,1,0,1,0,0,1,195.8,204.60000000000002,0,1.9472431937771675,1
13.4,3.2,14.3,4,0,0,0,1,1,0,0,0,0,42.88,191.62,0,1.786867006867007,0
21.5,2.5,0.3,4,0,0,0,1,1,0,1,0,0,53.75,6.45,0,5.383333333333334,0
19.2,4.8,16.2,4,0,0,0,1,1,0,0,0,0,92.16,311.03999999999996,0,1.8904076403447474,0
22.5,3.4,14.7,4,0,0,0,1,1,0,0,0,0,76.5,330.75,0,2.07443746729461,0
21.7,8.9,13.5,4,0,0,0,1,1,0,0,0,1,193.13,292.95,0,1.9037903861308116,0
27.1,5.6,,4,0,1,0,0,1,0,0,0,0,151.76,,0,,0
19.2,2.7,16.9,2,1,0,0,1,0,1,0,0,0,51.84,324.47999999999996,0,2.011671597633136,1
25.3,7.3,20.5,2,1,1,0,0,0,1,0,0,1,184.69,518.65,0,2.0203189493433396,0
15.8,2.5,4.8,2,1,0,0,1,0,1,0,0,0,39.5,75.84,0,2.0683333333333334,1
23.8,5.3,4.3,4,1,1,0,0,1,0,0,0,0,126.14,102.34,0,2.1983052659716655,1
23.8,5.5,17.6,4,1,1,0,0,1,0,0,0,0,130.9,418.88000000000005,0,2.0168181818181816,0
6.4,1.8,13.7,5,1,0,0,1,1,0,0,1,0,11.520000000000001,87.68,0,1.7211086427589124,0
24.7,0.0,21.1,5,1,1,0,0,1,0,0,1,0,0.0,521.1700000000001,1,3.870726698262243,0
23.9,5.3,13.8,2,1,1,0,0,0,1,0,0,0,126.66999999999999,329.82,0,2.041544227886057,1
23.2,5.5,12.5,2,1,0,0,1,0,1,0,0,0,127.6,290.0,0,2.02,0
19.7,4.5,14.6,2,1,0,0,1,0,1,0,0,0,88.64999999999999,287.62,0,1.9251598173515982,0
24.8,9.3,16.3,1,0,1,0,0,0,1,0,0,1,230.64000000000001,404.24,0,1.990057176244731,1
25.1,5.9,13.6,2,0,1,0,0,0,1,0,0,0,148.09,341.36,0,2.0664460784313725,1
12.9,4.3,11.8,2,0,0,0,1,0,1,0,0,0,55.47,152.22000000000003,0,1.7230790960451978,0
16.5,2.6,9.4,4,0,0,0,1,1,0,0,0,0,42.9,155.1,0,1.9789636238846946,1
23.0,2.9,9.3,4,0,0,0,1,1,0,0,0,0,66.7,213.9,0,2.16831119544592,0
24.9,16.4,18.9,4,0,1,0,0,1,0,0,0,1,408.35999999999996,470.60999999999996,0,1.942081650543189,1
24.3,7.6,22.5,4,0,1,0,0,1,0,0,0,1,184.68,546.75,0,1.9779012345679012,0
25.3,6.3,20.7,4,0,1,0,0,1,0,0,0,1,159.39,523.71,0,2.0387013356067065,0
5.2,1.1,9.0,4,0,0,0,1,1,0,0,1,0,5.720000000000001,46.800000000000004,0,1.9094444444444445,1
32.9,4.1,,1,0,1,0,0,0,1,0,0,0,134.89,,0,,0
20.5,5.3,14.4,2,0,0,0,1,0,1,0,0,0,108.64999999999999,295.2,0,1.9251915708812262,1
2.0,2.1,18.5,2,0,0,1,0,0,1,0,0,0,4.2,37.0,0,1.5053361053361052,0
22.2,2.2,14.5,4,0,0,0,1,1,0,0,0,0,48.84,321.9,0,2.1793358876117495,0
29.2,9.5,13.7,4,0,1,0,0,1,0,0,0,1,277.4,400.03999999999996,0,2.14632603406326,0
21.3,4.6,13.5,2,1,0,0,1,0,1,0,0,0,97.97999999999999,287.55,0,1.9801525054466231,1
10.5,1.6,16.3,2,1,0,0,1,0,1,0,1,0,16.8,171.15,0,1.88754016944201,0
13.8,4.0,12.0,2,1,0,0,1,0,1,0,0,0,55.2,165.60000000000002,0,1.7655555555555555,0
0.9,3.6,18.8,4,1,0,1,0,1,0,0,0,0,3.24,16.92,0,1.3270939283860923,1
26.4,4.8,20.4,4,1,1,0,0,1,0,0,0,0,126.71999999999998,538.56,0,2.1176988531261562,1
24.3,5.2,9.0,2,1,1,0,0,0,1,0,0,0,126.36000000000001,218.70000000000002,0,2.0965497076023394,1
16.4,3.2,17.4,2,1,0,0,1,0,1,0,0,0,52.48,285.35999999999996,0,1.874408201304753,0
15.4,1.8,13.0,3,1,0,0,1,0,1,0,1,0,27.720000000000002,200.20000000000002,0,2.0250390189520626,1
21.8,5.5,7.7,4,1,0,0,1,1,0,0,0,0,119.9,167.86,0,2.0232034632034632,0
21.2,4.2,15.9,2,0,0,0,1,0,1,0,0,0,89.04,337.08,0,1.9823257058744814,0
23.9,6.4,12.8,2,0,1,0,0,0,1,0,0,1,152.96,305.92,0,2.0197192028985507,1
3.9,2.8,20.5,4,0,0,1,0,1,0,0,0,0,10.92,79.95,0,1.4818107908351812,0
25.2,10.0,5.8,2,1,1,0,0,0,1,0,0,1,252.0,146.16,0,2.1076518883415436,0
24.1,5.2,2.6,2,1,1,0,0,0,1,1,0,0,125.32000000000001,62.660000000000004,0,2.363387314439946,1
16.9,2.4,10.0,2,1,0,0,1,0,1,0,0,0,40.559999999999995,169.0,0,2.00816091954023,0
23.8,13.1,21.7,4,1,1,0,0,1,0,0,0,1,311.78,516.46,0,1.9129456944067948,1
26.3,5.5,15.7,4,1,1,0,0,1,0,0,0,0,144.65,412.90999999999997,0,2.107027600849257,0
17.2,7.1,14.8,2,0,0,0,1,0,1,0,0,1,122.11999999999999,254.56,0,1.772479848269322,1
22.6,4.2,4.1,2,0,0,0,1,0,1,0,0,0,94.92000000000002,92.66,0,2.210001729804532,0
25.0,7.5,19.7,2,0,1,0,0,0,1,0,0,1,187.5,492.5,0,2.0090947546531304,1
24.3,4.4,8.1,4,0,1,0,0,1,0,0,0,0,106.92000000000002,196.82999999999998,0,2.137538422776518,0
9.3,2.4,1.3,4,0,0,0,1,1,0,1,0,0,22.32,12.090000000000002,0,2.4240583554376656,1
20.4,2.6,14.5,4,0,0,0,1,1,0,0,0,0,53.04,295.79999999999995,0,2.0715461624026696,0
26.0,2.8,1.9,1,1,1,0,0,0,1,1,0,0,72.8,49.4,0,2.696012759170654,1
